;-------------------------------------------------,,
;0-199 基本素質,,
;-------------------------------------------------,,
0,처녀,
1,동정,
;,,
9,붕괴,;売却額がかなり低下。営業で客の満足度激減
;,,
;性格,,
10,겁쟁이,;ABL:従順が上げやすい。PALAM:反感が上がりにくい
11,반항적,;コマンドを実行しにくい。売却の際に従順4以上必要。PALAM:恭順と欲情が上がりにくい
12,굳건함,;コマンドを実行しにくい。売却の際に従順4以上必要
13,솔직,;コマンドを実行しやすい。ABL:従順と奉仕精神が上げやすい。PALAM:恭順が上がりやすい
14,얌전함,;PALAM:反感が上がりにくい
15,프라이드높음,;コマンドを実行しにくい。ABL:技巧と奉仕精神が上げにくい。PALAM:屈服が上がりにくい
16,시건방짐,;ABL:従順と奉仕精神が上げにくい。
17,프라이드낮음,;コマンドを実行しやすい。ABL:奉仕精神が上げやすい。PALAM:屈服が上がりやすい
18,츤데레,;反抗的を同時に持つ場合、従順4以上で反抗的→素直に変更
;,,
;性への関心,,
20,자제심,;売却の際に欲望4以上必要。ABL:奉仕精神が上げにくい。快楽系PALAMが上がりにくい
21,무관심,:ABL:奉仕精神が上げにくい。PALAM:온순、욕정、굴복、공포、反感が上がりにくい
22,감정부족,:ABL:奉仕精神が上げにくい。PALAMが全体的に上がりにくい
23,호기심,;コマンドを実行しやすい。PALAM:習得が上がりやすい
24,보수적,;コマンドを実行しにくい。ABL:奉仕精神が上げにくい。PALAM:習得が上がりにくい
25,낙관적,;ABL:奉仕精神が上げやすい。PALAM:抑鬱が上がりにくい
26,비관적,;ABL:奉仕精神が上げやすい。PALAM:抑鬱が上がりやすい
27,일선넘지않음,;全てのABLが上げにくい
28,눈에띄고싶어함,;コマンドを実行しやすい。ABL:露出癖が上げやすい
;,,
;乙女心,,
30,정조관념,;情愛系調教の効果が低い。PALAM:反感が上がりやすい
31,정조관부실,;情愛系調教の効果が低い。PALAM:反感が上がりにくい
32,억압,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい
33,해방,;ABL:マゾっ気とABL:レズっ気が上げやすい。PALAM:欲情と屈服が上がりやすい
34,저항,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい
35,수줍음,;コマンドを実行しにくい。露出系調教の効果が高い
36,수치심없음,;露出系調教の効果が低い
37,약점,;コマンドを実行しやすい
;,,
;体質,,
40,아픔에약함,;PALAM:恐怖と反感が上がりやすい。ABL:マゾっ気があるとSM系調教でPALAM:欲情が上がりやすい
41,아픔에강함,;PALAM:恐怖と反感が上がりにくい
42,젖기쉬움,;PALAM:潤滑が上がりやすい
43,젖기어려움,;PALAM:潤滑が上がりにくい
44,울보,;
45,울지않음,;プレイ中に涙を見せない
46,약물중독,;しあわせ草使用による気力、体力消費軽減＋効果増大。しあわせ草を与えないと7日ごとに禁断症状が起きる
47,정애미각,;精液を飲むだけで絶頂してしまう体質。ABL:精液中毒が上げやすい
48,근시,;眼鏡が似合う
;,,
;技術,,
50,습득빠름,;ABL:奉仕精神が上げやすい。PALAM:習得が上がりやすい
51,습득느림,;ABL:奉仕精神が上げにくい。PALAM:習得が上がりにくい
52,혀놀림,;フェラ系調教の効果が高い
55,조합지식,;特殊なアイテムを購入できる。コマンド「しあわせ草」の体力と気力の消費が少ない
56,약독내성,;コマンド「しあわせ草」「이뇨제」が実行不可
57,오줌싸개,;放尿コマンドが常に使えるようになる。絶頂時に放尿。
;,,
;潔癖度,,
60,자위쉬움,;自慰関連が実行しやすい。ABL:自慰中毒が上げやすい
61,악취둔감,;フェラ系調教を実行しやすい。ABL:精液中毒が上げやすい
62,악취민감,;フェラ系調教を実行しにくい。ABL:精液中毒が上げにくい
63,헌신적,;奉仕系調教を実行しやすい。ABL:奉仕精神が上げやすい。PALAM:屈服が上がりやすい
64,불결무시,;調教者の時に汚れによるペナルティをうけない
;,,
;正直度,,
70,쾌감에솔직,;コマンドを実行しやすい。ABL:欲望と奉仕精神が上げやすい。PALAM:欲情が上がりやすい
71,쾌감을부정,;コマンドを実行しにくい。PALAM:欲情が上がりにくい
72,중독되기쉬움,;ABL:자위중독、정액중독、レズ中毒が上げやすい
73,즉각함락,;コマンドを実行しやすい。調教時にABLが上がる事がある
;,,
;特殊性癖,,
74,자위광,;Ｃ系コマンド及び自慰系コマンドの効果アップ
75,섹스광,;Ｖ系コマンドの効果アップ
76,음란,;コマンドを実行しやすい。ABLが全体的に上がりやすい
77,항문광,;Ａ系コマンドの効果アップ
78,가슴광,;Ｂ系コマンドの効果アップ
;,,
;性癖,,
79,선머슴,;オトコ以外による調教が実行しにくい。本来の素質名は「女嫌い」だが、雰囲気重視でこう表記
80,도착적,;SM系調教の効果が高い。ABLが全体的に上がりやすい
81,바이,;レズ調教を実行しやすい。ABL:レズ、レズ中毒が上げやすい
82,남성혐오,;オトコによる調教が実行しにくい
83,새드,;調教者の時にコマンドを実行しやすい。ABL:奉仕精神が上げにくい
84,질투,;いるだけで他のキャラの回復量減少。効果は累積する
85,애정,;主人による調教が実行しやすい。PALAM:屈服が上がりやすい
86,망신,;コマンドを実行しやすい。PALAM:屈服が上がりやすい
87,소악마,;調教者の時にコマンドを実行しやすい
88,마조,;
89,노출광,;
;,,
;魅了,,
91,매혹,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
92,수수께끼의매력,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
93,위압감,;調教者の時にコマンドを実行しやすい。調教者の時に恐怖があがりやすい
;,,
;身体特徴,,
99,장신,;PALAM:고통、恐怖が上がりにくい
100,작은체형,;PALAM:고통、恐怖が上がりやすい
101,Ｃ둔감,;PALAM:快Ｃが上がりにくい
102,Ｃ민감,;PALAM:快Ｃが上がりやすい
103,Ｖ둔감,;PALAM:快Ｖが上がりにくい
104,Ｖ민감,;PALAM:快Ｖが上がりやすい
105,Ａ둔감,;PALAM:快Ａが上がりにくい
106,Ａ민감,;PALAM:快Ａが上がりやすい
107,Ｂ둔감,;PALAM:快Ｂが上がりにくい
108,Ｂ민감,;PALAM:快Ｂが上がりやすい
