0,진동하는보석,200,
1,꿀단지웜,500,
2,진동지팡이,2000,
3,애널웜,5000,
4,페니스밴드,2000,
5,아이마스크,4000,
6,수정구,7000,
7,클리캡,2000,
8,유두캡,3000,
9,볼개그,1000,
10,채찍,200,
11,바늘,2000,
12,오나홀,4000,
13,플레이매트,5000,;お風呂場でプレイの幅が広がる
14,밧줄,3000,
15,관장기＋플러그,8000,
16,큰거울,30000,;羞恥プレイが可能になる
17,착유기,1500,
18,개목걸이,5000,;野外プレイが可能になる
19,에이프런,10000,;新妻プレイが可能になる
20,애널비즈,7000,
21,전극플러그,50000,
22,똥개,3000,;獣姦調教が可能に
23,본디지수트,10000,;助手専用
;,,,
24,콘돔,100,;定番の避妊具、避妊には十分だが、使い捨て
25,로션,200,
26,미약,2000,;他のeraシリーズの媚薬にあたるアイテム
27,이뇨제,1000,
28,수정구의마력원,500,;ビデオカメラの使用に必要。使い捨て
29,구충제,500,;寄生を解除する
;,,,
30,영양제,1000,;体力を300回復する
31,향,3000,;否定の珠を半減する
;33,WGバッテリー,100000,;キャラの寿命を延ばす
34,피어스링,5000,;キャラにピアスを付ける
35,관전티켓,700,;闘技場利用に必要
;,,,
37,러브스코프,1000,;調教対象の好感度が表示されるようになる
38,부스터메일,100000,;マスターにTAL:魅惑がつく
39,【마계지식】,100000,;マスターにTAL:秘密知識がつく
;,,,
40,배란유발제,2000,;敢えて孕ませる場合に使う。
41,강모제,2000,;陰毛を生やす
;,,,
42,【조합지식】,40000,;マスターにTAL:調合知識がつく
52,【기교Lv】,5000,;マスターの技巧が上昇
53,【경험치】,1000,;経験値を10得る
;罠関係素質,,,
54,【음마지식】,100000,;魔王にTAL:淫魔知識がつく
55,【함정Lv】,5000,;罠の効果を増やす
56,【마충지식】,10000,;一部の罠を強化するTAL:魔蟲知識がつく
;ここから罠,,,
60,떨어지는함정,10,
61,화살형함정,50,
62,텔레포트형함정,80,
63,일방통행형함정,100,
64,최음가스형함정,120,
65,촉수바닥형함정,150,
66,미약늪형함정,170,
67,자위최면형함정,180,
68,시설의태형함정,190,
69,소환형함정,1000,
70,몽마형함정,180,
71,슬라임방형함정,90,
